Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,IEP 4Yr Cohort Grad 17-18,IEP 4Yr Cohort Grad 17-18 Target,IEP 5Yr Cohort Grad 17-18,IEP 5Yr Cohort Grad 17-18 Target,IEP Dropout 17-18,IEP Dropout 17-18 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2208,Athena-Weston SD 29RJ,81,90.12%,73.00% or more,1.23%,10.60% or less,0.00%,1.80% or less,94.74%,95.00%,>95%,95.00%,>95%,95.00%,22.22%,35.00%,8.70%,35.00%,14.29%,35.00%,94.74%,95.00%,>95%,95.00%,>95%,95.00%,5.56%,32.00%,13.04%,32.00%,<5%,32.00%,100.00%,100.00%,88.89%,81.23%,*,100.00%,No ,No ,No ,No ,75,84.0% or more,66.67%,86.0% or more,3.57%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1894,Baker SD 5J,448,93.97%,73.00% or more,1.56%,10.60% or less,0.00%,1.80% or less,79.70%,95.00%,80.92%,95.00%,92.68%,95.00%,33.96%,35.00%,21.70%,35.00%,44.74%,35.00%,77.44%,95.00%,80.92%,95.00%,90.24%,95.00%,32.04%,32.00%,11.32%,32.00%,21.62%,32.00%,100.00%,100.00%,78.13%,81.23%,*,100.00%,No ,No ,No ,No ,47.37,84.0% or more,65.79%,86.0% or more,2.82%,3.1% or less,10.00%,31.00%,20.00%,55.50%,70.00%,72.00%
1969,Bandon SD 54,93,56.99%,73.00% or more,9.68%,10.60% or less,1.08%,1.80% or less,>95%,95.00%,>95%,95.00%,83.33%,95.00%,24.14%,35.00%,13.04%,35.00%,*,35.00%,>95%,95.00%,>95%,95.00%,83.33%,95.00%,13.79%,32.00%,<5%,32.00%,*,32.00%,100.00%,100.00%,87.50%,81.23%,*,100.00%,No ,No ,No ,No ,66.67,84.0% or more,50.00%,86.0% or more,3.03%,3.1% or less,33.33%,31.00%,77.78%,55.50%,100.00%,72.00%
2240,Banks SD 13,148,82.43%,73.00% or more,6.76%,10.60% or less,3.38%,1.80% or less,72.50%,95.00%,80.95%,95.00%,91.67%,95.00%,41.38%,35.00%,20.59%,35.00%,18.18%,35.00%,72.50%,95.00%,83.33%,95.00%,91.67%,95.00%,34.48%,32.00%,14.29%,32.00%,<5%,32.00%,100.00%,100.00%,89.47%,81.23%,*,100.00%,No ,No ,No ,No ,92.86,84.0% or more,100.00%,86.0% or more,0.00%,3.1% or less,15.38%,31.00%,30.77%,55.50%,61.54%,72.00%
2243,Beaverton SD 48J,4842,79.10%,73.00% or more,13.71%,10.60% or less,1.65%,1.80% or less,92.35%,95.00%,92.57%,95.00%,85.33%,95.00%,34.68%,35.00%,23.49%,35.00%,33.44%,35.00%,91.76%,95.00%,92.00%,95.00%,83.73%,95.00%,30.42%,32.00%,16.15%,32.00%,14.01%,32.00%,98.92%,100.00%,78.85%,81.23%,*,100.00%,No ,No ,No ,No ,64.27,84.0% or more,71.46%,86.0% or more,3.06%,3.1% or less,34.88%,31.00%,48.50%,55.50%,78.41%,72.00%
1976,Bend-LaPine Administrative SD 1,1821,79.46%,73.00% or more,8.79%,10.60% or less,0.22%,1.80% or less,70.13%,95.00%,76.11%,95.00%,66.27%,95.00%,18.93%,35.00%,16.55%,35.00%,14.29%,35.00%,69.25%,95.00%,73.52%,95.00%,58.58%,95.00%,18.21%,32.00%,9.07%,32.00%,7.07%,32.00%,98.83%,100.00%,83.75%,81.23%,100.00%,100.00%,No ,No ,No ,No ,66.82,84.0% or more,69.27%,86.0% or more,4.50%,3.1% or less,31.25%,31.00%,59.82%,55.50%,86.61%,72.00%
2088,Bethel SD 52,963,62.82%,73.00% or more,14.12%,10.60% or less,1.25%,1.80% or less,88.76%,95.00%,92.47%,95.00%,90.41%,95.00%,21.52%,35.00%,15.53%,35.00%,22.73%,35.00%,89.14%,95.00%,92.05%,95.00%,91.78%,95.00%,16.39%,32.00%,10.91%,32.00%,<5%,32.00%,98.00%,100.00%,77.11%,81.23%,*,100.00%,No ,No ,No ,No ,46.15,84.0% or more,57.89%,86.0% or more,6.58%,3.1% or less,25.53%,31.00%,34.04%,55.50%,70.21%,72.00%
2095,Blachly SD 90,53,86.79%,73.00% or more,1.89%,10.60% or less,0.00%,1.80% or less,85.71%,95.00%,>95%,95.00%,*,95.00%,33.33%,35.00%,6.25%,35.00%,*,35.00%,78.57%,95.00%,>95%,95.00%,*,95.00%,9.09%,32.00%,<5%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2052,Black Butte SD 41,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1974,Brookings-Harbor SD 17C,208,67.31%,73.00% or more,12.98%,10.60% or less,0.00%,1.80% or less,79.41%,95.00%,94.12%,95.00%,>95%,95.00%,13.21%,35.00%,12.50%,35.00%,<5%,35.00%,75.00%,95.00%,92.65%,95.00%,92.31%,95.00%,9.80%,32.00%,6.35%,32.00%,<5%,32.00%,97.30%,100.00%,84.21%,81.23%,*,100.00%,Yes,No ,No ,No ,50,84.0% or more,68.42%,86.0% or more,8.75%,3.1% or less,0.00%,31.00%,81.82%,55.50%,90.91%,72.00%
1896,Burnt River SD 30J,9,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2046,Butte Falls SD 91,53,88.68%,73.00% or more,1.89%,10.60% or less,0.00%,1.80% or less,94.12%,95.00%,>95%,95.00%,*,95.00%,25.00%,35.00%,7.69%,35.00%,*,35.00%,94.12%,95.00%,>95%,95.00%,*,95.00%,12.50%,32.00%,7.69%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,62.5,84.0% or more,*,86.0% or more,5.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1995,Camas Valley SD 21J,38,65.79%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,<5%,35.00%,11.11%,35.00%,*,35.00%,>95%,95.00%,>95%,95.00%,*,95.00%,<5%,32.00%,11.11%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,11.76%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1929,Canby SD 86,557,70.92%,73.00% or more,9.34%,10.60% or less,3.23%,1.80% or less,77.92%,95.00%,77.21%,95.00%,73.33%,95.00%,22.50%,35.00%,14.29%,35.00%,30.30%,35.00%,79.22%,95.00%,76.47%,95.00%,71.11%,95.00%,22.13%,32.00%,9.62%,32.00%,9.38%,32.00%,100.00%,100.00%,72.73%,81.23%,100.00%,100.00%,Yes,No ,No ,No ,77.55,84.0% or more,68.09%,86.0% or more,3.30%,3.1% or less,30.56%,31.00%,66.67%,55.50%,80.56%,72.00%
2139,Cascade SD 5,344,80.52%,73.00% or more,13.37%,10.60% or less,0.00%,1.80% or less,85.59%,95.00%,72.63%,95.00%,76.00%,95.00%,31.58%,35.00%,34.78%,35.00%,36.84%,35.00%,83.78%,95.00%,72.63%,95.00%,76.00%,95.00%,30.11%,32.00%,15.94%,32.00%,<5%,32.00%,100.00%,100.00%,89.19%,81.23%,*,100.00%,No ,No ,No ,No ,59.26,84.0% or more,69.23%,86.0% or more,3.96%,3.1% or less,15.38%,31.00%,61.54%,55.50%,84.62%,72.00%
2185,Centennial SD 28J,845,70.30%,73.00% or more,8.52%,10.60% or less,3.91%,1.80% or less,87.28%,95.00%,88.41%,95.00%,82.76%,95.00%,17.09%,35.00%,15.93%,35.00%,31.25%,35.00%,87.72%,95.00%,88.41%,95.00%,81.03%,95.00%,16.50%,32.00%,15.85%,32.00%,8.51%,32.00%,98.96%,100.00%,87.50%,81.23%,83.33%,100.00%,No ,No ,No ,No ,43.9,84.0% or more,69.62%,86.0% or more,5.25%,3.1% or less,21.15%,31.00%,46.15%,55.50%,76.92%,72.00%
1972,Central Curry SD 1,64,82.81%,73.00% or more,0.00%,10.60% or less,3.13%,1.80% or less,91.67%,95.00%,92.31%,95.00%,*,95.00%,22.73%,35.00%,25.00%,35.00%,*,35.00%,91.67%,95.00%,92.31%,95.00%,*,95.00%,18.18%,32.00%,16.67%,32.00%,*,32.00%,88.89%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,9.52%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2105,Central Linn SD 552,99,81.82%,73.00% or more,8.08%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,>95%,95.00%,52.00%,35.00%,17.39%,35.00%,25.00%,35.00%,>95%,95.00%,>95%,95.00%,>95%,95.00%,44.00%,32.00%,13.04%,32.00%,<5%,32.00%,100.00%,100.00%,84.21%,81.23%,*,100.00%,No ,No ,No ,No ,50,84.0% or more,62.50%,86.0% or more,2.78%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2042,Central Point SD 6,662,68.88%,73.00% or more,16.47%,10.60% or less,0.15%,1.80% or less,86.67%,95.00%,>95%,95.00%,>95%,95.00%,14.87%,35.00%,14.75%,35.00%,39.02%,35.00%,85.78%,95.00%,>95%,95.00%,>95%,95.00%,10.36%,32.00%,11.48%,32.00%,12.20%,32.00%,100.00%,100.00%,85.71%,81.23%,*,100.00%,Yes,No ,No ,No ,57.78,84.0% or more,66.00%,86.0% or more,2.96%,3.1% or less,0.00%,31.00%,54.55%,55.50%,72.73%,72.00%
2191,Central SD 13J,340,64.71%,73.00% or more,15.29%,10.60% or less,1.18%,1.80% or less,>95%,95.00%,86.21%,95.00%,92.00%,95.00%,13.00%,35.00%,18.67%,35.00%,30.43%,35.00%,>95%,95.00%,85.06%,95.00%,72.00%,95.00%,12.00%,32.00%,12.16%,32.00%,5.56%,32.00%,100.00%,100.00%,80.77%,81.23%,*,100.00%,No ,No ,No ,No ,72.97,84.0% or more,71.79%,86.0% or more,4.51%,3.1% or less,9.09%,31.00%,36.36%,55.50%,63.64%,72.00%
1945,Clatskanie SD 6J,130,56.92%,73.00% or more,16.15%,10.60% or less,0.00%,1.80% or less,77.14%,95.00%,72.41%,95.00%,75.00%,95.00%,22.22%,35.00%,<5%,35.00%,<5%,35.00%,77.14%,95.00%,72.41%,95.00%,87.50%,95.00%,11.11%,32.00%,<5%,32.00%,<5%,32.00%,100.00%,100.00%,66.67%,81.23%,*,100.00%,No ,No ,No ,No ,44.44,84.0% or more,81.82%,86.0% or more,10.64%,3.1% or less,0.00%,31.00%,33.33%,55.50%,50.00%,72.00%
1927,Colton SD 53,85,76.47%,73.00% or more,7.06%,10.60% or less,1.18%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,15.79%,35.00%,8.70%,35.00%,*,35.00%,95.00%,95.00%,>95%,95.00%,*,95.00%,5.26%,32.00%,8.70%,32.00%,*,32.00%,83.33%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,81.82,84.0% or more,50.00%,86.0% or more,8.57%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2006,Condon SD 25J,23,95.65%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,90.00%,95.00%,>95%,95.00%,*,95.00%,55.56%,35.00%,50.00%,35.00%,*,35.00%,90.00%,95.00%,>95%,95.00%,*,95.00%,33.33%,32.00%,16.67%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1965,Coos Bay SD 9,515,69.90%,73.00% or more,10.10%,10.60% or less,0.00%,1.80% or less,92.55%,95.00%,89.39%,95.00%,>95%,95.00%,12.08%,35.00%,10.17%,35.00%,18.92%,35.00%,93.17%,95.00%,86.92%,95.00%,94.74%,95.00%,13.33%,32.00%,7.08%,32.00%,<5%,32.00%,100.00%,100.00%,81.58%,81.23%,*,100.00%,No ,No ,No ,No ,61.76,84.0% or more,61.54%,86.0% or more,5.71%,3.1% or less,20.00%,31.00%,40.00%,55.50%,60.00%,72.00%
1964,Coquille SD 8,144,77.78%,73.00% or more,10.42%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,79.31%,95.00%,85.71%,95.00%,23.81%,35.00%,13.04%,35.00%,8.33%,35.00%,>95%,95.00%,79.31%,95.00%,64.29%,95.00%,28.57%,32.00%,8.70%,32.00%,<5%,32.00%,100.00%,100.00%,81.82%,81.23%,*,100.00%,No ,No ,No ,No ,36.84,84.0% or more,50.00%,86.0% or more,12.73%,3.1% or less,30.77%,31.00%,53.85%,55.50%,69.23%,72.00%
2186,Corbett SD 39,155,84.52%,73.00% or more,1.94%,10.60% or less,2.58%,1.80% or less,94.34%,95.00%,>95%,95.00%,>95%,95.00%,20.00%,35.00%,25.58%,35.00%,28.57%,35.00%,94.34%,95.00%,>95%,95.00%,>95%,95.00%,24.00%,32.00%,11.63%,32.00%,<5%,32.00%,94.44%,100.00%,90.91%,81.23%,*,100.00%,No ,No ,No ,No ,100,84.0% or more,*,86.0% or more,2.08%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1901,Corvallis SD 509J,675,75.11%,73.00% or more,9.19%,10.60% or less,0.15%,1.80% or less,93.51%,95.00%,91.89%,95.00%,82.05%,95.00%,31.40%,35.00%,18.24%,35.00%,34.38%,35.00%,94.59%,95.00%,88.65%,95.00%,79.49%,95.00%,30.86%,32.00%,14.02%,32.00%,9.68%,32.00%,100.00%,100.00%,80.18%,81.23%,100.00%,100.00%,No ,No ,No ,No ,67.9,84.0% or more,77.63%,86.0% or more,3.00%,3.1% or less,28.00%,31.00%,52.00%,55.50%,72.00%,72.00%
2216,Cove SD 15,44,93.18%,73.00% or more,2.27%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,7.14%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2086,Creswell SD 40,216,76.39%,73.00% or more,7.41%,10.60% or less,6.02%,1.80% or less,88.89%,95.00%,89.29%,95.00%,92.86%,95.00%,27.08%,35.00%,6.00%,35.00%,69.23%,35.00%,87.04%,95.00%,89.29%,95.00%,92.86%,95.00%,34.04%,32.00%,<5%,32.00%,15.38%,32.00%,100.00%,100.00%,70.00%,81.23%,*,100.00%,No ,No ,No ,No ,83.33,84.0% or more,70.83%,86.0% or more,3.53%,3.1% or less,11.11%,31.00%,66.67%,55.50%,88.89%,72.00%
1970,Crook County SD,395,75.95%,73.00% or more,7.34%,10.60% or less,0.00%,1.80% or less,94.78%,95.00%,90.48%,95.00%,90.91%,95.00%,22.94%,35.00%,13.16%,35.00%,25.00%,35.00%,>95%,95.00%,88.10%,95.00%,90.91%,95.00%,19.09%,32.00%,9.01%,32.00%,5.00%,32.00%,94.67%,100.00%,93.75%,81.23%,*,100.00%,No ,No ,No ,No ,65.79,84.0% or more,55.88%,86.0% or more,9.40%,3.1% or less,8.00%,31.00%,32.00%,55.50%,76.00%,72.00%
2089,Crow-Applegate-Lorane SD 66,40,92.50%,73.00% or more,2.50%,10.60% or less,2.50%,1.80% or less,>95%,95.00%,*,95.00%,83.33%,95.00%,16.67%,35.00%,*,35.00%,*,35.00%,>95%,95.00%,*,95.00%,83.33%,95.00%,16.67%,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,77.78%,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2050,Culver SD 4,90,73.33%,73.00% or more,7.78%,10.60% or less,0.00%,1.80% or less,93.33%,95.00%,82.76%,95.00%,90.91%,95.00%,<5%,35.00%,<5%,35.00%,30.00%,35.00%,93.33%,95.00%,86.21%,95.00%,90.91%,95.00%,14.29%,32.00%,<5%,32.00%,<5%,32.00%,100.00%,100.00%,83.33%,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,50.00%,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2190,Dallas SD 2,502,61.75%,73.00% or more,10.36%,10.60% or less,1.39%,1.80% or less,87.90%,95.00%,92.57%,95.00%,>95%,95.00%,16.67%,35.00%,20.44%,35.00%,24.32%,35.00%,89.17%,95.00%,91.22%,95.00%,>95%,95.00%,14.29%,32.00%,13.33%,32.00%,10.81%,32.00%,100.00%,100.00%,77.55%,81.23%,*,100.00%,Yes,No ,No ,No ,60,84.0% or more,68.42%,86.0% or more,4.44%,3.1% or less,12.50%,31.00%,37.50%,55.50%,66.67%,72.00%
2187,David Douglas SD 40,1160,76.72%,73.00% or more,7.67%,10.60% or less,3.71%,1.80% or less,92.73%,95.00%,94.27%,95.00%,88.89%,95.00%,19.03%,35.00%,13.74%,35.00%,20.31%,35.00%,92.04%,95.00%,93.19%,95.00%,88.89%,95.00%,16.54%,32.00%,8.46%,32.00%,6.25%,32.00%,98.44%,100.00%,85.51%,81.23%,*,100.00%,No ,No ,No ,No ,52.94,84.0% or more,62.89%,86.0% or more,4.34%,3.1% or less,19.35%,31.00%,37.10%,55.50%,75.81%,72.00%
2253,Dayton SD 8,119,78.99%,73.00% or more,7.56%,10.60% or less,3.36%,1.80% or less,90.00%,95.00%,84.38%,95.00%,>95%,95.00%,25.93%,35.00%,14.81%,35.00%,20.00%,35.00%,90.00%,95.00%,84.38%,95.00%,>95%,95.00%,7.41%,32.00%,11.11%,32.00%,<5%,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,100,84.0% or more,90.91%,86.0% or more,1.85%,3.1% or less,10.00%,31.00%,20.00%,55.50%,70.00%,72.00%
2011,Dayville SD 16J,6,83.33%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2017,Diamond SD 7,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2021,Double O SD 28,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1993,Douglas County SD 15,23,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,<5%,35.00%,<5%,35.00%,*,35.00%,>95%,95.00%,83.33%,95.00%,*,95.00%,<5%,32.00%,*,32.00%,*,32.00%,83.33%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
